대지위치,건축면적,주구조,용도,지붕구조,사용승인일자
대전광역시 대덕구 대화동 16-72,339.9,철근콘크리트구조,공동주택,(철근)콘크리트,1998-01-19
대전광역시 대덕구 대화동 16-74,225.02,벽돌구조,단독주택,(철근)콘크리트,1977-07-30
대전광역시 대덕구 대화동 16-75,77.62,벽돌구조,단독주택,(철근)콘크리트,1977-05-26
대전광역시 대덕구 대화동 16-80,150.68,벽돌구조,단독주택,(철근)콘크리트,1978-12-22
대전광역시 대덕구 대화동 16-81,122.72,벽돌구조,단독주택,(철근)콘크리트,1976-07-02
대전광역시 대덕구 대화동 16-82,81.74,벽돌구조,단독주택,(철근)콘크리트,1976-09-16
대전광역시 대덕구 대화동 16-83,55.98,벽돌구조,단독주택,(철근)콘크리트,1979-06-21
대전광역시 대덕구 대화동 16-85,78.05,벽돌구조,단독주택,(철근)콘크리트,1977-05-24
대전광역시 대덕구 대화동 16-86,76.66,벽돌구조,단독주택,(철근)콘크리트,1976-07-28
대전광역시 대덕구 대화동 16-87,77.96,벽돌구조,단독주택,(철근)콘크리트,1976-07-28
대전광역시 대덕구 대화동 16-88,81.54,벽돌구조,단독주택,(철근)콘크리트,1976-08-14
대전광역시 대덕구 대화동 16-89,92.29,벽돌구조,단독주택,(철근)콘크리트,1976-07-12
대전광역시 대덕구 대화동 16-9,191.57999999999998,벽돌구조,단독주택,(철근)콘크리트,1980-05-31
대전광역시 대덕구 대화동 16-90,72.03,벽돌구조,단독주택,(철근)콘크리트,1976-12-27
대전광역시 대덕구 대화동 16-91,72.03,벽돌구조,단독주택,(철근)콘크리트,1977-01-29
대전광역시 대덕구 대화동 16-92,78.68,벽돌구조,단독주택,(철근)콘크리트,1977-05-09
대전광역시 대덕구 대화동 16-93,78.42,벽돌구조,단독주택,기와,1976-08-19
대전광역시 대덕구 대화동 16-94,83.22,벽돌구조,단독주택,(철근)콘크리트,1979-07-26
대전광역시 대덕구 대화동 16-95,83.6,벽돌구조,단독주택,(철근)콘크리트,1977-05-10
대전광역시 대덕구 대화동 16-96,82.17,벽돌구조,단독주택,기와,1976-07-28
대전광역시 대덕구 대화동 16-97,78.21,벽돌구조,단독주택,(철근)콘크리트,1976-08-03
대전광역시 대덕구 대화동 16-98,77.85,벽돌구조,단독주택,(철근)콘크리트,1976-05-14
대전광역시 대덕구 대화동 16-99,79.08,벽돌구조,단독주택,(철근)콘크리트,1976-07-28
대전광역시 대덕구 대화동 164-1,2799.73,일반철골구조,공장,(철근)콘크리트,1996-12-15
대전광역시 대덕구 대화동 169,9529.220000000001,철근콘크리트구조,교육연구시설,(철근)콘크리트,1984-09-11
대전광역시 대덕구 대화동 188,39.67,일반목구조,단독주택,슬레이트,1946
대전광역시 대덕구 대화동 215,26.45,일반목구조,단독주택,슬레이트,1920
대전광역시 대덕구 대화동 220,35.27,기타조적구조,단독주택,기타지붕,1960
대전광역시 대덕구 대화동 223,139.88,강파이프구조,공장,슬레이트,1982-04-15
대전광역시 대덕구 대화동 223-12,616.7,철근콘크리트구조,공장,(철근)콘크리트,1994-12-05
대전광역시 대덕구 대화동 223-29,103.15,철근콘크리트구조,위험물저장및처리시설,(철근)콘크리트,2009-03-18
대전광역시 대덕구 대화동 225-1,513.27,강파이프구조,자동차관련시설,기타지붕,2004-08-17
대전광역시 대덕구 대화동 225-8,78.75,경량철골구조,제2종근린생활시설,기타지붕,2022-01-05
대전광역시 대덕구 대화동 227,52970.6,철골철근콘크리트구조,공장,(철근)콘크리트,2017-12-29
대전광역시 대덕구 대화동 228-2,1060.1200000000001,벽돌구조,자동차관련시설,(철근)콘크리트,1986-05-10
대전광역시 대덕구 대화동 229-12,4912.68,철근콘크리트구조,공동주택,(철근)콘크리트,1986-09-05
대전광역시 대덕구 대화동 229-20,108.78,벽돌구조,제2종근린생활시설,(철근)콘크리트,1992-12-15
대전광역시 대덕구 대화동 233-1,691.9300000000001,일반철골구조,공장,기타지붕,2018-04-20
대전광역시 대덕구 대화동 233-4,69.0,벽돌구조,단독주택,(철근)콘크리트,1979-11-16
대전광역시 대덕구 대화동 233-5,30.28,블록구조,단독주택,슬레이트,1974-01-10
대전광역시 대덕구 대화동 233-6,103.95,경량철골구조,제2종근린생활시설,기타지붕,2001-12-06
대전광역시 대덕구 대화동 234-1,1387.76,경량철골구조,창고시설,기타지붕,1996-01-31
대전광역시 대덕구 대화동 235-11,410.23,철근콘크리트구조,종교시설,(철근)콘크리트,1996-02-09
대전광역시 대덕구 대화동 236,365.76,경량철골구조,자동차관련시설,기타지붕,1994-12-13
대전광역시 대덕구 대화동 236-10,51.48,벽돌구조,단독주택,(철근)콘크리트,1981-04-02
대전광역시 대덕구 대화동 236-12,73.18,벽돌구조,단독주택,(철근)콘크리트,1981-04-02
대전광역시 대덕구 대화동 236-4,55.16,블록구조,단독주택,기와,1973-01-11
대전광역시 대덕구 대화동 237,472.89,철근콘크리트구조,공장,(철근)콘크리트,1981-12-03
대전광역시 대덕구 대화동 238,50.5,벽돌구조,제2종근린생활시설,(철근)콘크리트,1980-05-31
대전광역시 대덕구 대화동 238-2,80.0,벽돌구조,제2종근린생활시설,(철근)콘크리트,1980-05-31
대전광역시 대덕구 대화동 238-4,195.87,벽돌구조,단독주택,(철근)콘크리트,1979-10-24
대전광역시 대덕구 대화동 238-5,51.4,벽돌구조,단독주택,(철근)콘크리트,1991-11-23
대전광역시 대덕구 대화동 239-1,117.1,벽돌구조,단독주택,(철근)콘크리트,1981-09-08
대전광역시 대덕구 대화동 239-10,68.55,벽돌구조,단독주택,(철근)콘크리트,1987-12-18
대전광역시 대덕구 대화동 239-11,90.63,블록구조,단독주택,슬레이트,1975-01-06
대전광역시 대덕구 대화동 239-15,105.96,철근콘크리트구조,단독주택,기타지붕,2004-11-05
대전광역시 대덕구 대화동 239-18,51.44,블록구조,단독주택,기와,1959
대전광역시 대덕구 대화동 239-2,46.31,블록구조,단독주택,기와,1974-10-16
대전광역시 대덕구 대화동 239-20,76.24,벽돌구조,단독주택,(철근)콘크리트,1980-01-10
대전광역시 대덕구 대화동 239-4,75.84,벽돌구조,단독주택,(철근)콘크리트,1978-10-17
